model,seed,episode,result,reward,move_count,agent_win_rate,player_win_rate,draw_rate,skill,skill_change,difficulty,difficulty_name,epsilon,effective_epsilon,avg_q_change,max_q_change,q_updates,episode_q_updates,learned_states,tactical_moves,epsilon_moves,q_policy_moves,use_q_learning,use_tactical,use_adaptive,use_epsilon
Full Model,1,1,P,-10.0,5,0.0,100.0,0.0,60,10,1,Very Easy,0.95,1.0,1.5,3.0,2,2,2,0,2,0,True,True,True,True
Full Model,1,2,A,10.0,10,50.0,50.0,0.0,52,-8,1,Very Easy,0.9025,1.0,0.6,3.0,7,5,7,1,4,0,True,True,True,True
Full Model,1,3,P,-10.0,9,33.333333333333336,66.66666666666667,0.0,62,10,3,Normal,0.8573749999999999,0.6859,0.75,3.0,11,4,11,1,3,0,True,True,True,True
Full Model,1,4,A,10.0,12,50.0,50.0,0.0,54,-8,3,Normal,0.8145062499999999,0.651605,0.5,3.0,17,6,17,2,2,2,True,True,True,True
Full Model,1,5,P,-10.0,7,40.0,60.0,0.0,64,10,3,Normal,0.7737809374999999,0.6190247499999999,1.0,3.0,20,3,20,1,1,1,True,True,True,True
Full Model,1,6,P,-10.0,5,33.333333333333336,66.66666666666667,0.0,74,10,4,Hard,0.7350918906249998,0.3675459453124999,1.5,3.0,22,2,21,0,2,0,True,True,True,True
Full Model,1,7,A,10.0,6,42.857142857142854,57.142857142857146,0.0,66,-8,4,Hard,0.6983372960937497,0.34916864804687486,1.0,3.0,25,3,24,3,0,0,True,True,True,True
Full Model,1,8,P,-10.0,5,37.5,62.5,0.0,76,10,4,Hard,0.6634204312890623,0.3317102156445311,1.5,3.0,27,2,26,2,0,0,True,True,True,True
Full Model,1,9,P,-10.0,7,33.333333333333336,66.66666666666667,0.0,86,10,5,Expert,0.6302494097246091,0.15756235243115227,1.0,3.0,30,3,28,2,0,1,True,True,True,True
Full Model,1,10,A,10.0,6,40.0,60.0,0.0,78,-8,4,Hard,0.5987369392383786,0.2993684696191893,1.0,3.0,33,3,30,3,0,0,True,True,True,True
Full Model,1,11,P,-10.0,7,36.36363636363637,63.63636363636363,0.0,78,0,4,Hard,0.5688000922764596,0.2844000461382298,1.0,3.0,36,3,32,3,0,0,True,True,True,True
Full Model,1,12,P,-10.0,7,33.333333333333336,66.66666666666667,0.0,96,18,5,Expert,0.5403600876626365,0.13509002191565914,1.0,3.0,39,3,35,2,0,1,True,True,True,True
Full Model,1,13,A,10.0,6,38.46153846153846,61.53846153846154,0.0,78,-18,4,Hard,0.5133420832795047,0.25667104163975235,1.0,3.0,42,3,37,2,0,1,True,True,True,True
Full Model,1,14,P,-10.0,5,35.714285714285715,64.28571428571429,0.0,96,18,5,Expert,0.48767497911552943,0.12191874477888236,1.5,3.0,44,2,39,1,0,1,True,True,True,True
Full Model,1,15,A,10.0,8,40.0,60.0,0.0,78,-18,4,Hard,0.46329123015975293,0.23164561507987647,0.75,3.0,48,4,42,4,0,0,True,True,True,True
Full Model,1,16,P,-10.0,5,37.5,62.5,0.0,78,0,4,Hard,0.44012666865176525,0.22006333432588263,1.5,3.0,50,2,43,0,0,2,True,True,True,True
Full Model,1,17,P,-10.0,7,35.294117647058826,64.70588235294117,0.0,96,18,5,Expert,0.41812033521917696,0.10453008380479424,1.0,3.0,53,3,46,2,0,1,True,True,True,True
Full Model,1,18,A,10.0,10,38.888888888888886,61.111111111111114,0.0,78,-18,4,Hard,0.3972143184582181,0.19860715922910904,0.6,3.0,58,5,50,4,0,1,True,True,True,True
Full Model,1,19,A,10.0,6,42.10526315789474,57.89473684210526,0.0,60,-18,3,Normal,0.37735360253530714,0.30188288202824576,1.0,3.0,61,3,53,3,0,0,True,True,True,True
Full Model,1,20,P,-10.0,5,40.0,60.0,0.0,78,18,4,Hard,0.35848592240854177,0.17924296120427088,1.5,3.0,63,2,54,1,0,1,True,True,True,True
Full Model,1,21,A,10.0,6,42.857142857142854,57.142857142857146,0.0,60,-18,3,Normal,0.34056162628811465,0.27244930103049175,1.0,3.0,66,3,56,2,0,1,True,True,True,True
Full Model,1,22,P,-10.0,7,40.90909090909091,59.09090909090909,0.0,60,0,3,Normal,0.3235335449737089,0.2588268359789671,1.0,3.0,69,3,58,0,0,3,True,True,True,True
Full Model,1,23,A,10.0,6,43.47826086956522,56.52173913043478,0.0,60,0,3,Normal,0.30735686772502346,0.2458854941800188,1.0,3.0,72,3,60,2,0,1,True,True,True,True
Full Model,1,24,A,10.0,6,45.833333333333336,54.166666666666664,0.0,42,-18,2,Easy,0.2919890243387723,0.3211879267726495,1.0,3.0,75,3,62,3,0,0,True,True,True,True
Full Model,1,25,P,-10.0,9,44.0,56.0,0.0,60,18,3,Normal,0.27738957312183365,0.22191165849746694,0.75,3.0,79,4,66,0,2,2,True,True,True,True
Full Model,1,26,P,-10.0,5,42.30769230769231,57.69230769230769,0.0,60,0,3,Normal,0.263520094465742,0.2108160755725936,1.5,3.0,81,2,67,0,1,1,True,True,True,True
Full Model,1,27,A,10.0,8,44.44444444444444,55.55555555555556,0.0,42,-18,2,Easy,0.25034408974245487,0.2753784987167004,0.75,3.0,85,4,70,3,1,0,True,True,True,True
Full Model,1,28,A,10.0,8,46.42857142857143,53.57142857142857,0.0,42,0,2,Easy,0.2378268852553321,0.26160957378086536,0.75,3.0,89,4,73,1,0,3,True,True,True,True
Full Model,1,29,P,-10.0,5,44.827586206896555,55.172413793103445,0.0,60,18,3,Normal,0.2259355409925655,0.1807484327940524,1.5,3.0,91,2,74,0,1,1,True,True,True,True
Full Model,1,30,P,-10.0,7,43.333333333333336,56.666666666666664,0.0,60,0,3,Normal,0.2146387639429372,0.17171101115434978,1.0,3.0,94,3,77,2,0,1,True,True,True,True
Full Model,1,31,P,-10.0,5,41.935483870967744,58.064516129032256,0.0,78,18,4,Hard,0.20390682574579033,0.10195341287289517,1.5,3.0,96,2,78,1,0,1,True,True,True,True
Full Model,1,32,A,10.0,6,43.75,56.25,0.0,60,-18,3,Normal,0.1937114844585008,0.15496918756680067,1.0,3.0,99,3,80,3,0,0,True,True,True,True
Full Model,1,33,P,-10.0,7,42.42424242424242,57.57575757575758,0.0,78,18,4,Hard,0.18402591023557577,0.09201295511778788,1.0,3.0,102,3,82,0,1,2,True,True,True,True
Full Model,1,34,P,-10.0,7,41.1764705882353,58.8235294117647,0.0,96,18,5,Expert,0.17482461472379698,0.05,1.0,3.0,105,3,84,1,1,1,True,True,True,True
Full Model,1,35,A,10.0,8,42.857142857142854,57.142857142857146,0.0,78,-18,4,Hard,0.16608338398760714,0.08304169199380357,0.75,3.0,109,4,87,4,0,0,True,True,True,True
Full Model,1,36,A,10.0,8,44.44444444444444,55.55555555555556,0.0,60,-18,3,Normal,0.15777921478822676,0.1262233718305814,0.75,3.0,113,4,90,3,0,1,True,True,True,True
Full Model,1,37,P,-10.0,5,43.24324324324324,56.75675675675676,0.0,78,18,4,Hard,0.14989025404881542,0.07494512702440771,1.5,3.0,115,2,91,1,0,1,True,True,True,True
Full Model,1,38,P,-10.0,7,42.10526315789474,57.89473684210526,0.0,96,18,5,Expert,0.14239574134637464,0.05,1.0,3.0,118,3,93,2,0,1,True,True,True,True
Full Model,1,39,P,-10.0,9,41.02564102564103,58.97435897435897,0.0,96,0,5,Expert,0.1352759542790559,0.05,0.75,3.0,122,4,96,4,0,0,True,True,True,True
Full Model,1,40,A,10.0,6,42.5,57.5,0.0,78,-18,4,Hard,0.1285121565651031,0.06425607828255155,1.0,3.0,125,3,98,3,0,0,True,True,True,True
Full Model,1,41,P,-10.0,7,41.46341463414634,58.53658536585366,0.0,78,0,4,Hard,0.12208654873684793,0.061043274368423966,1.0,3.0,128,3,100,2,0,1,True,True,True,True
Full Model,1,42,P,-10.0,5,40.476190476190474,59.523809523809526,0.0,96,18,5,Expert,0.11598222130000553,0.05,1.5,3.0,130,2,102,2,0,0,True,True,True,True
Full Model,1,43,A,10.0,6,41.86046511627907,58.13953488372093,0.0,78,-18,4,Hard,0.11018311023500525,0.055091555117502626,1.0,3.0,133,3,104,3,0,0,True,True,True,True
Full Model,1,44,P,-10.0,7,40.90909090909091,59.09090909090909,0.0,78,0,4,Hard,0.10467395472325498,0.05233697736162749,1.0,3.0,136,3,106,0,1,2,True,True,True,True
Full Model,1,45,A,10.0,6,42.22222222222222,57.77777777777778,0.0,78,0,4,Hard,0.09944025698709223,0.05,1.0,3.0,139,3,108,3,0,0,True,True,True,True
Full Model,1,46,A,10.0,8,43.47826086956522,56.52173913043478,0.0,78,0,4,Hard,0.09446824413773762,0.05,0.75,3.0,143,4,111,3,0,1,True,True,True,True
Full Model,1,47,A,10.0,6,44.680851063829785,55.319148936170215,0.0,60,-18,3,Normal,0.08974483193085074,0.07179586554468059,1.0,3.0,146,3,113,2,0,1,True,True,True,True
