model,seed,episode,result,reward,move_count,agent_win_rate,player_win_rate,draw_rate,skill,skill_change,difficulty,difficulty_name,epsilon,effective_epsilon,avg_q_change,max_q_change,q_updates,episode_q_updates,learned_states,tactical_moves,epsilon_moves,q_policy_moves,use_q_learning,use_tactical,use_adaptive,use_epsilon
Full Model,1,1,A,10.0,10,100.0,0.0,0.0,42,-8,1,Very Easy,0.95,1.0,0.6,3.0,5,5,5,0,5,0,True,True,True,True
Full Model,1,2,P,-10.0,7,50.0,50.0,0.0,52,10,1,Very Easy,0.9025,1.0,1.0,3.0,8,3,8,0,3,0,True,True,True,True
Full Model,1,3,P,-10.0,7,33.333333333333336,66.66666666666667,0.0,62,10,3,Normal,0.8573749999999999,0.6859,1.0,3.0,11,3,11,0,3,0,True,True,True,True
Full Model,1,4,A,10.0,8,50.0,50.0,0.0,54,-8,3,Normal,0.8145062499999999,0.651605,0.75,3.0,15,4,14,2,1,1,True,True,True,True
Full Model,1,5,P,-10.0,9,40.0,60.0,0.0,64,10,3,Normal,0.7737809374999999,0.6190247499999999,0.75,3.0,19,4,18,1,2,1,True,True,True,True
Full Model,1,6,A,10.0,10,50.0,50.0,0.0,56,-8,3,Normal,0.7350918906249998,0.5880735124999998,0.6,3.0,24,5,23,0,3,2,True,True,True,True
Full Model,1,7,P,-10.0,7,42.857142857142854,57.142857142857146,0.0,66,10,4,Hard,0.6983372960937497,0.34916864804687486,1.0,3.0,27,3,25,0,1,2,True,True,True,True
Full Model,1,8,A,10.0,6,50.0,50.0,0.0,58,-8,3,Normal,0.6634204312890623,0.5307363450312498,1.0,3.0,30,3,27,2,0,1,True,True,True,True
Full Model,1,9,P,-10.0,9,44.44444444444444,55.55555555555556,0.0,68,10,4,Hard,0.6302494097246091,0.31512470486230454,0.75,3.0,34,4,31,0,3,1,True,True,True,True
Full Model,1,10,A,10.0,6,50.0,50.0,0.0,60,-8,3,Normal,0.5987369392383786,0.4789895513907029,1.0,3.0,37,3,34,2,0,1,True,True,True,True
Full Model,1,11,A,10.0,10,54.54545454545455,45.45454545454545,0.0,60,0,3,Normal,0.5688000922764596,0.4550400738211677,0.6,3.0,42,5,38,2,3,0,True,True,True,True
Full Model,1,12,A,10.0,10,58.333333333333336,41.666666666666664,0.0,42,-18,2,Easy,0.5403600876626365,0.5943960964289002,0.6,3.0,47,5,43,3,2,0,True,True,True,True
Full Model,1,13,P,-10.0,5,53.84615384615385,46.15384615384615,0.0,42,0,2,Easy,0.5133420832795047,0.5646762916074552,1.5,3.0,49,2,45,0,1,1,True,True,True,True
Full Model,1,14,A,10.0,6,57.142857142857146,42.857142857142854,0.0,42,0,2,Easy,0.48767497911552943,0.5364424770270824,1.0,3.0,52,3,47,1,1,1,True,True,True,True
Full Model,1,15,A,10.0,8,60.0,40.0,0.0,24,-18,1,Very Easy,0.46329123015975293,0.6254431607156665,0.75,3.0,56,4,51,2,1,1,True,True,True,True
Full Model,1,16,P,-10.0,7,56.25,43.75,0.0,42,18,2,Easy,0.44012666865176525,0.4841393355169418,1.0,3.0,59,3,53,0,2,1,True,True,True,True
Full Model,1,17,A,10.0,10,58.8235294117647,41.1764705882353,0.0,24,-18,1,Very Easy,0.41812033521917696,0.5644624525458889,0.6,3.0,64,5,57,0,2,3,True,True,True,True
Full Model,1,18,A,10.0,8,61.111111111111114,38.888888888888886,0.0,24,0,1,Very Easy,0.3972143184582181,0.5362393299185945,0.75,3.0,68,4,60,0,2,2,True,True,True,True
Full Model,1,19,P,-10.0,9,57.89473684210526,42.10526315789474,0.0,24,0,1,Very Easy,0.37735360253530714,0.5094273634226647,0.75,3.0,72,4,63,0,2,2,True,True,True,True
Full Model,1,20,A,10.0,14,60.0,40.0,0.0,24,0,1,Very Easy,0.35848592240854177,0.48395599525153143,0.42857142857142855,3.0,79,7,69,1,5,1,True,True,True,True
Full Model,1,21,A,10.0,8,61.904761904761905,38.095238095238095,0.0,24,0,1,Very Easy,0.34056162628811465,0.4597581954889548,0.75,3.0,83,4,73,1,2,1,True,True,True,True
Full Model,1,22,A,10.0,8,63.63636363636363,36.36363636363637,0.0,24,0,1,Very Easy,0.3235335449737089,0.43677028571450704,0.75,3.0,87,4,76,0,1,3,True,True,True,True
Full Model,1,23,P,-10.0,9,60.869565217391305,39.130434782608695,0.0,24,0,1,Very Easy,0.30735686772502346,0.4149317714287817,0.75,3.0,91,4,79,0,2,2,True,True,True,True
Full Model,1,24,P,-10.0,9,58.333333333333336,41.666666666666664,0.0,42,18,2,Easy,0.2919890243387723,0.3211879267726495,0.75,3.0,95,4,82,0,3,1,True,True,True,True
Full Model,1,25,A,10.0,14,60.0,40.0,0.0,42,0,2,Easy,0.27738957312183365,0.30512853043401705,0.42857142857142855,3.0,102,7,88,1,3,3,True,True,True,True
Full Model,1,26,P,-10.0,5,57.69230769230769,42.30769230769231,0.0,42,0,2,Easy,0.263520094465742,0.2898721039123162,1.5,3.0,104,2,89,0,1,1,True,True,True,True
Full Model,1,27,P,-10.0,13,55.55555555555556,44.44444444444444,0.0,60,18,3,Normal,0.25034408974245487,0.2002752717939639,0.5,3.0,110,6,94,1,1,4,True,True,True,True
Full Model,1,28,A,10.0,12,57.142857142857146,42.857142857142854,0.0,60,0,3,Normal,0.2378268852553321,0.19026150820426568,0.5,3.0,116,6,99,1,2,3,True,True,True,True
Full Model,1,29,A,10.0,6,58.62068965517241,41.37931034482759,0.0,42,-18,2,Easy,0.2259355409925655,0.24852909509182206,1.0,3.0,119,3,102,1,0,2,True,True,True,True
Full Model,1,30,A,10.0,10,60.0,40.0,0.0,42,0,2,Easy,0.2146387639429372,0.23610264033723094,0.6,3.0,124,5,106,0,0,5,True,True,True,True
Full Model,1,31,P,-10.0,5,58.064516129032256,41.935483870967744,0.0,60,18,3,Normal,0.20390682574579033,0.16312546059663227,1.5,3.0,126,2,107,0,0,2,True,True,True,True
Full Model,1,32,A,10.0,12,59.375,40.625,0.0,60,0,3,Normal,0.1937114844585008,0.15496918756680067,0.5,3.0,132,6,112,0,2,4,True,True,True,True
Full Model,1,33,A,10.0,10,60.60606060606061,39.39393939393939,0.0,42,-18,2,Easy,0.18402591023557577,0.20242850125913336,0.6,3.0,137,5,116,1,0,4,True,True,True,True
Full Model,1,34,P,-10.0,9,58.8235294117647,41.1764705882353,0.0,42,0,2,Easy,0.17482461472379698,0.1923070761961767,0.75,3.0,141,4,119,0,2,2,True,True,True,True
Full Model,1,35,A,10.0,8,60.0,40.0,0.0,42,0,2,Easy,0.16608338398760714,0.18269172238636786,0.75,3.0,145,4,123,0,0,4,True,True,True,True
Full Model,1,36,A,10.0,14,61.111111111111114,38.888888888888886,0.0,24,-18,1,Very Easy,0.15777921478822676,0.21300193996410616,0.42857142857142855,3.0,152,7,130,3,0,4,True,True,True,True
Full Model,1,37,P,-10.0,7,59.45945945945946,40.54054054054054,0.0,24,0,1,Very Easy,0.14989025404881542,0.20235184296590084,1.0,3.0,155,3,132,0,0,3,True,True,True,True
Full Model,1,38,A,10.0,10,60.526315789473685,39.473684210526315,0.0,24,0,1,Very Easy,0.14239574134637464,0.19223425081760578,0.6,3.0,160,5,136,0,0,5,True,True,True,True
Full Model,1,39,P,-10.0,11,58.97435897435897,41.02564102564103,0.0,42,18,2,Easy,0.1352759542790559,0.1488035497069615,0.6,3.0,165,5,140,0,0,5,True,True,True,True
Full Model,1,40,P,-10.0,11,57.5,42.5,0.0,60,18,3,Normal,0.1285121565651031,0.10280972525208248,0.6,3.0,170,5,144,1,0,4,True,True,True,True
Full Model,1,41,A,10.0,8,58.53658536585366,41.46341463414634,0.0,42,-18,2,Easy,0.12208654873684793,0.13429520361053274,0.75,3.0,174,4,147,3,0,1,True,True,True,True
Full Model,1,42,A,10.0,6,59.523809523809526,40.476190476190474,0.0,42,0,2,Easy,0.11598222130000553,0.1275804434300061,1.0,3.0,177,3,150,1,1,1,True,True,True,True
Full Model,1,43,P,-10.0,13,58.13953488372093,41.86046511627907,0.0,60,18,3,Normal,0.11018311023500525,0.0881464881880042,0.5,3.0,183,6,155,0,0,6,True,True,True,True
Full Model,1,44,A,10.0,14,59.09090909090909,40.90909090909091,0.0,42,-18,2,Easy,0.10467395472325498,0.11514135019558049,0.42857142857142855,3.0,190,7,161,3,0,4,True,True,True,True
Full Model,1,45,A,10.0,12,60.0,40.0,0.0,42,0,2,Easy,0.09944025698709223,0.10938428268580147,0.5,3.0,196,6,166,1,0,5,True,True,True,True
Full Model,1,46,A,10.0,6,60.869565217391305,39.130434782608695,0.0,42,0,2,Easy,0.09446824413773762,0.10391506855151139,1.0,3.0,199,3,168,0,0,3,True,True,True,True
Full Model,1,47,A,10.0,10,61.702127659574465,38.297872340425535,0.0,24,-18,1,Very Easy,0.08974483193085074,0.12115552310664851,0.6,3.0,204,5,172,2,0,3,True,True,True,True
Full Model,1,48,A,10.0,10,62.5,37.5,0.0,24,0,1,Very Easy,0.0852575903343082,0.11509774695131608,0.6,3.0,209,5,175,0,3,2,True,True,True,True
Full Model,1,49,P,-10.0,9,61.224489795918366,38.775510204081634,0.0,24,0,1,Very Easy,0.08099471081759278,0.10934285960375026,0.75,3.0,213,4,178,0,0,4,True,True,True,True
Full Model,1,50,A,10.0,12,62.0,38.0,0.0,6,-18,1,Very Easy,0.07694497527671314,0.10387571662356274,0.5,3.0,219,6,183,0,1,5,True,True,True,True
Full Model,1,51,P,-10.0,11,60.78431372549019,39.21568627450981,0.0,24,18,1,Very Easy,0.07309772651287748,0.0986819307923846,0.6,3.0,224,5,187,1,0,4,True,True,True,True
Full Model,1,52,P,-10.0,11,59.61538461538461,40.38461538461539,0.0,42,18,2,Easy,0.0694428401872336,0.07638712420595696,0.6,3.0,229,5,191,0,0,5,True,True,True,True
Full Model,1,53,P,-10.0,11,58.490566037735846,41.509433962264154,0.0,42,0,2,Easy,0.0659706981778719,0.0725677679956591,0.6,3.0,234,5,194,1,1,3,True,True,True,True
Full Model,1,54,A,10.0,8,59.25925925925926,40.74074074074074,0.0,42,0,2,Easy,0.0626721632689783,0.06893937959587614,0.75,3.0,238,4,197,1,0,3,True,True,True,True
Full Model,1,55,P,-10.0,7,58.18181818181818,41.81818181818182,0.0,60,18,3,Normal,0.059538555105529384,0.05,1.0,3.0,241,3,199,0,0,3,True,True,True,True
Full Model,1,56,P,-10.0,7,57.142857142857146,42.857142857142854,0.0,78,18,4,Hard,0.05656162735025291,0.05,1.0,3.0,244,3,201,1,0,2,True,True,True,True
Full Model,1,57,A,10.0,8,57.89473684210526,42.10526315789474,0.0,78,0,4,Hard,0.053733545982740265,0.05,0.75,3.0,248,4,204,4,0,0,True,True,True,True
Full Model,1,58,A,10.0,6,58.62068965517241,41.37931034482759,0.0,78,0,4,Hard,0.05104686868360325,0.05,1.0,3.0,251,3,206,3,0,0,True,True,True,True
Full Model,1,59,A,10.0,12,59.32203389830509,40.67796610169491,0.0,60,-18,3,Normal,0.05,0.05,0.5,3.0,257,6,211,3,1,2,True,True,True,True
Full Model,1,60,A,10.0,6,60.0,40.0,0.0,60,0,3,Normal,0.05,0.05,1.0,3.0,260,3,212,1,0,2,True,True,True,True
Full Model,1,61,A,10.0,6,60.65573770491803,39.34426229508197,0.0,42,-18,2,Easy,0.05,0.05500000000000001,1.0,3.0,263,3,214,1,0,2,True,True,True,True
Full Model,1,62,P,-10.0,7,59.67741935483871,40.32258064516129,0.0,42,0,2,Easy,0.05,0.05500000000000001,1.0,3.0,266,3,215,1,1,1,True,True,True,True
Full Model,1,63,P,-10.0,5,58.73015873015873,41.26984126984127,0.0,42,0,2,Easy,0.05,0.05500000000000001,1.5,3.0,268,2,215,0,0,2,True,True,True,True
Full Model,1,64,A,10.0,8,59.375,40.625,0.0,42,0,2,Easy,0.05,0.05500000000000001,0.75,3.0,272,4,218,3,1,0,True,True,True,True
Full Model,1,65,P,-10.0,9,58.46153846153846,41.53846153846154,0.0,42,0,2,Easy,0.05,0.05500000000000001,0.75,3.0,276,4,221,0,0,4,True,True,True,True
Full Model,1,66,A,10.0,8,59.09090909090909,40.90909090909091,0.0,24,-18,1,Very Easy,0.05,0.0675,0.75,3.0,280,4,225,1,0,3,True,True,True,True
Full Model,1,67,P,-10.0,9,58.208955223880594,41.791044776119406,0.0,42,18,2,Easy,0.05,0.05500000000000001,0.75,3.0,284,4,228,0,2,2,True,True,True,True
Full Model,1,68,P,-10.0,11,57.35294117647059,42.64705882352941,0.0,60,18,3,Normal,0.05,0.05,0.6,3.0,289,5,232,0,3,2,True,True,True,True
Full Model,1,69,A,10.0,6,57.971014492753625,42.028985507246375,0.0,60,0,3,Normal,0.05,0.05,1.0,3.0,292,3,234,3,0,0,True,True,True,True
Full Model,1,70,A,10.0,6,58.57142857142857,41.42857142857143,0.0,60,0,3,Normal,0.05,0.05,1.0,3.0,295,3,236,3,0,0,True,True,True,True
Full Model,1,71,A,10.0,10,59.15492957746479,40.84507042253521,0.0,60,0,3,Normal,0.05,0.05,0.6,3.0,300,5,240,2,0,3,True,True,True,True
Full Model,1,72,A,10.0,10,59.72222222222222,40.27777777777778,0.0,42,-18,2,Easy,0.05,0.05500000000000001,0.6,3.0,305,5,244,2,0,3,True,True,True,True
Full Model,1,73,P,-10.0,5,58.9041095890411,41.0958904109589,0.0,42,0,2,Easy,0.05,0.05500000000000001,1.5,3.0,307,2,245,0,0,2,True,True,True,True
Full Model,1,74,P,-10.0,11,58.108108108108105,41.891891891891895,0.0,60,18,3,Normal,0.05,0.05,0.6,3.0,312,5,248,0,0,5,True,True,True,True
Full Model,1,75,A,10.0,8,58.666666666666664,41.333333333333336,0.0,42,-18,2,Easy,0.05,0.05500000000000001,0.75,3.0,316,4,251,1,0,3,True,True,True,True
Full Model,1,76,P,-10.0,11,57.89473684210526,42.10526315789474,0.0,60,18,3,Normal,0.05,0.05,0.6,3.0,321,5,255,1,0,4,True,True,True,True
Full Model,1,77,A,10.0,12,58.44155844155844,41.55844155844156,0.0,42,-18,2,Easy,0.05,0.05500000000000001,0.5,3.0,327,6,260,1,0,5,True,True,True,True
Full Model,1,78,A,10.0,8,58.97435897435897,41.02564102564103,0.0,24,-18,1,Very Easy,0.05,0.0675,0.75,3.0,331,4,263,2,0,2,True,True,True,True
Full Model,1,79,A,10.0,8,59.49367088607595,40.50632911392405,0.0,24,0,1,Very Easy,0.05,0.0675,0.75,3.0,335,4,266,0,0,4,True,True,True,True
Full Model,1,80,A,10.0,10,60.0,40.0,0.0,24,0,1,Very Easy,0.05,0.0675,0.6,3.0,340,5,270,0,0,5,True,True,True,True
Full Model,1,81,P,-10.0,11,59.25925925925926,40.74074074074074,0.0,42,18,2,Easy,0.05,0.05500000000000001,0.6,3.0,345,5,274,0,0,5,True,True,True,True
Full Model,1,82,A,10.0,6,59.75609756097561,40.24390243902439,0.0,42,0,2,Easy,0.05,0.05500000000000001,1.0,3.0,348,3,276,2,1,0,True,True,True,True
Full Model,1,83,P,-10.0,13,59.036144578313255,40.963855421686745,0.0,42,0,2,Easy,0.05,0.05500000000000001,0.5,3.0,354,6,281,0,1,5,True,True,True,True
Full Model,1,84,A,10.0,12,59.523809523809526,40.476190476190474,0.0,24,-18,1,Very Easy,0.05,0.0675,0.5,3.0,360,6,286,0,0,6,True,True,True,True
Full Model,1,85,A,10.0,12,60.0,40.0,0.0,24,0,1,Very Easy,0.05,0.0675,0.5,3.0,366,6,291,0,0,6,True,True,True,True
Full Model,1,86,A,10.0,16,60.46511627906977,39.53488372093023,0.0,6,-18,1,Very Easy,0.05,0.0675,0.375,3.0,374,8,297,1,0,7,True,True,True,True
Full Model,1,87,P,-10.0,11,59.770114942528735,40.229885057471265,0.0,24,18,1,Very Easy,0.05,0.0675,0.6,3.0,379,5,301,0,0,5,True,True,True,True
Full Model,1,88,P,-10.0,5,59.09090909090909,40.90909090909091,0.0,42,18,2,Easy,0.05,0.05500000000000001,1.5,3.0,381,2,302,0,1,1,True,True,True,True
Full Model,1,89,A,10.0,10,59.550561797752806,40.449438202247194,0.0,42,0,2,Easy,0.05,0.05500000000000001,0.6,3.0,386,5,306,0,1,4,True,True,True,True
Full Model,1,90,A,10.0,8,60.0,40.0,0.0,42,0,2,Easy,0.05,0.05500000000000001,0.75,3.0,390,4,309,0,0,4,True,True,True,True
Full Model,1,91,A,10.0,6,60.43956043956044,39.56043956043956,0.0,24,-18,1,Very Easy,0.05,0.0675,1.0,3.0,393,3,311,0,0,3,True,True,True,True
Full Model,1,92,A,10.0,12,60.869565217391305,39.130434782608695,0.0,24,0,1,Very Easy,0.05,0.0675,0.5,3.0,399,6,316,0,1,5,True,True,True,True
Full Model,1,93,P,-10.0,9,60.215053763440864,39.784946236559136,0.0,24,0,1,Very Easy,0.05,0.0675,0.75,3.0,403,4,319,0,0,4,True,True,True,True
Full Model,1,94,A,10.0,8,60.638297872340424,39.361702127659576,0.0,24,0,1,Very Easy,0.05,0.0675,0.75,3.0,407,4,322,0,0,4,True,True,True,True
Full Model,1,95,P,-10.0,11,60.0,40.0,0.0,42,18,2,Easy,0.05,0.05500000000000001,0.6,3.0,412,5,326,0,0,5,True,True,True,True
Full Model,1,96,P,-10.0,9,59.375,40.625,0.0,60,18,3,Normal,0.05,0.05,0.75,3.0,416,4,329,0,0,4,True,True,True,True
Full Model,1,97,A,10.0,8,59.79381443298969,40.20618556701031,0.0,42,-18,2,Easy,0.05,0.05500000000000001,0.75,3.0,420,4,332,2,0,2,True,True,True,True
Full Model,1,98,A,10.0,6,60.204081632653065,39.795918367346935,0.0,24,-18,1,Very Easy,0.05,0.0675,1.0,3.0,423,3,334,1,0,2,True,True,True,True
Full Model,1,99,A,10.0,14,60.60606060606061,39.39393939393939,0.0,24,0,1,Very Easy,0.05,0.0675,0.42857142857142855,3.0,430,7,340,1,0,6,True,True,True,True
Full Model,1,100,P,-10.0,9,60.0,40.0,0.0,42,18,2,Easy,0.05,0.05500000000000001,0.75,3.0,434,4,343,0,1,3,True,True,True,True
Full Model,2,1,A,10.0,14,100.0,0.0,0.0,42,-8,1,Very Easy,0.95,1.0,0.42857142857142855,3.0,7,7,7,0,7,0,True,True,True,True
Full Model,2,2,P,-10.0,11,50.0,50.0,0.0,52,10,1,Very Easy,0.9025,1.0,0.6,3.0,12,5,12,0,5,0,True,True,True,True
Full Model,2,3,A,10.0,6,66.66666666666667,33.333333333333336,0.0,44,-8,2,Easy,0.8573749999999999,0.9431124999999999,1.0,3.0,15,3,15,0,3,0,True,True,True,True
Full Model,2,4,A,10.0,10,75.0,25.0,0.0,36,-8,2,Easy,0.8145062499999999,0.895956875,0.6,3.0,20,5,20,0,5,0,True,True,True,True
Full Model,2,5,P,-10.0,7,60.0,40.0,0.0,46,10,3,Normal,0.7737809374999999,0.6190247499999999,1.0,3.0,23,3,23,1,2,0,True,True,True,True
Full Model,2,6,A,10.0,12,66.66666666666667,33.333333333333336,0.0,38,-8,2,Easy,0.7350918906249998,0.8086010796874998,0.5,3.0,29,6,28,2,3,1,True,True,True,True
Full Model,2,7,A,10.0,8,71.42857142857143,28.571428571428573,0.0,30,-8,2,Easy,0.6983372960937497,0.7681710257031248,0.75,3.0,33,4,32,2,1,1,True,True,True,True
Full Model,2,8,P,-10.0,7,62.5,37.5,0.0,40,10,2,Easy,0.6634204312890623,0.7297624744179685,1.0,3.0,36,3,35,0,3,0,True,True,True,True
