model,seed,episode,phase,opponent,result,reward,move_count,skill,difficulty,difficulty_name,epsilon,effective_epsilon,q_updates_enabled,q_updates,learned_states,avg_abs_q_change,max_abs_q_change,tactical_moves,epsilon_moves,q_policy_moves
No Adaptive,1,1,train,strong,player_win,-10.0,7,50.0,1,Very Easy,0.95,0.76,1,3,3,0.0,0.0,2,0,1
No Adaptive,1,2,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.9025,0.722,1,5,5,0.0,0.0,1,0,1
No Adaptive,1,3,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.8573749999999999,0.6859,1,7,6,0.0,0.0,1,1,0
No Adaptive,1,4,train,strong,player_win,-10.0,7,50.0,1,Very Easy,0.8145062499999999,0.651605,1,10,9,0.0,0.0,2,0,1
No Adaptive,1,5,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.7737809374999999,0.6190247499999999,1,12,11,0.0,0.0,1,1,0
No Adaptive,1,6,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.7350918906249998,0.5880735124999998,1,14,12,0.0,0.0,2,0,0
No Adaptive,1,7,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.6983372960937497,0.5586698368749998,1,16,13,0.0,0.0,1,1,0
No Adaptive,1,8,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.6634204312890623,0.5307363450312498,1,18,14,0.0,0.0,1,1,0
No Adaptive,1,9,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.6302494097246091,0.5041995277796872,1,20,15,0.0,0.0,1,0,1
No Adaptive,1,10,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.5987369392383786,0.4789895513907029,1,22,16,0.0,0.0,1,0,1
No Adaptive,1,11,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.5688000922764596,0.4550400738211677,1,24,17,0.0,0.0,1,0,1
No Adaptive,1,12,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.5403600876626365,0.4322880701301093,1,26,18,0.0,0.0,1,0,1
No Adaptive,1,13,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.5133420832795047,0.4106736666236038,1,28,19,0.0,0.0,1,1,0
No Adaptive,1,14,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.48767497911552943,0.39013998329242355,1,30,20,0.0,0.0,1,0,1
No Adaptive,1,15,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.46329123015975293,0.3706329841278024,1,32,21,0.0,0.0,1,0,1
No Adaptive,1,16,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.44012666865176525,0.3521013349214122,1,34,22,0.0,0.0,1,1,0
No Adaptive,1,17,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.41812033521917696,0.3344962681753416,1,36,23,0.0,0.0,1,1,0
No Adaptive,1,18,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.3972143184582181,0.3177714547665745,1,38,23,0.0,0.0,1,0,1
No Adaptive,1,19,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.37735360253530714,0.30188288202824576,1,40,24,0.0,0.0,1,0,1
No Adaptive,1,20,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.35848592240854177,0.2867887379268334,1,42,25,0.0,0.0,1,0,1
No Adaptive,1,21,train,strong,player_win,-10.0,7,50.0,1,Very Easy,0.34056162628811465,0.27244930103049175,1,45,27,0.0,0.0,2,1,0
No Adaptive,1,22,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.3235335449737089,0.2588268359789671,1,47,27,0.0,0.0,1,0,1
No Adaptive,1,23,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.30735686772502346,0.2458854941800188,1,49,28,0.0,0.0,1,0,1
No Adaptive,1,24,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.2919890243387723,0.23359121947101782,1,51,29,0.0,0.0,1,0,1
No Adaptive,1,25,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.27738957312183365,0.22191165849746694,1,53,30,0.0,0.0,1,0,1
No Adaptive,1,26,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.263520094465742,0.2108160755725936,1,55,31,0.0,0.0,1,0,1
No Adaptive,1,27,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.25034408974245487,0.2002752717939639,1,57,31,0.0,0.0,1,0,1
No Adaptive,1,28,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.2378268852553321,0.19026150820426568,1,59,32,0.0,0.0,1,0,1
No Adaptive,1,29,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.2259355409925655,0.1807484327940524,1,61,33,0.0,0.0,1,1,0
No Adaptive,1,30,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.2146387639429372,0.17171101115434978,1,63,33,0.0,0.0,1,1,0
No Adaptive,1,31,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.20390682574579033,0.16312546059663227,1,65,33,0.0,0.0,1,0,1
No Adaptive,1,32,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.1937114844585008,0.15496918756680067,1,67,34,0.0,0.0,2,0,0
No Adaptive,1,33,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.18402591023557577,0.14722072818846063,1,69,35,0.0,0.0,1,1,0
No Adaptive,1,34,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.17482461472379698,0.1398596917790376,1,71,35,0.0,0.0,1,1,0
No Adaptive,1,35,train,strong,player_win,-10.0,7,50.0,1,Very Easy,0.16608338398760714,0.13286670719008573,1,74,37,0.0,0.0,2,1,0
No Adaptive,1,36,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.15777921478822676,0.1262233718305814,1,76,38,0.0,0.0,1,0,1
No Adaptive,1,37,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.14989025404881542,0.11991220323905234,1,78,39,0.0,0.0,1,0,1
No Adaptive,1,38,train,strong,player_win,-10.0,7,50.0,1,Very Easy,0.14239574134637464,0.11391659307709973,1,81,40,0.0,0.0,2,0,1
No Adaptive,1,39,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.1352759542790559,0.10822076342324471,1,83,40,0.0,0.0,1,0,1
No Adaptive,1,40,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.1285121565651031,0.10280972525208248,1,85,41,0.0,0.0,1,0,1
No Adaptive,1,41,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.12208654873684793,0.09766923898947835,1,87,42,0.0,0.0,2,0,0
No Adaptive,1,42,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.11598222130000553,0.09278577704000443,1,89,43,0.0,0.0,1,0,1
No Adaptive,1,43,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.11018311023500525,0.0881464881880042,1,91,44,0.0,0.0,1,0,1
No Adaptive,1,44,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.10467395472325498,0.08373916377860399,1,93,45,0.0,0.0,1,0,1
No Adaptive,1,45,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.09944025698709223,0.0795522055896738,1,95,46,0.0,0.0,1,0,1
No Adaptive,1,46,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.09446824413773762,0.0755745953101901,1,97,46,0.0,0.0,1,0,1
No Adaptive,1,47,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.08974483193085074,0.07179586554468059,1,99,47,0.0,0.0,1,0,1
No Adaptive,1,48,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.0852575903343082,0.06820607226744656,1,101,48,0.0,0.0,1,0,1
No Adaptive,1,49,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.08099471081759278,0.06479576865407423,1,103,48,0.0,0.0,2,0,0
No Adaptive,1,50,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.07694497527671314,0.061555980221370515,1,105,49,0.0,0.0,1,0,1
No Adaptive,1,51,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.07309772651287748,0.05847818121030199,1,107,49,0.0,0.0,1,0,1
No Adaptive,1,52,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.0694428401872336,0.05555427214978688,1,109,50,0.0,0.0,1,0,1
No Adaptive,1,53,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.0659706981778719,0.05277655854229753,1,111,51,0.0,0.0,1,0,1
No Adaptive,1,54,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.0626721632689783,0.050137730615182646,1,113,52,0.0,0.0,1,1,0
No Adaptive,1,55,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.059538555105529384,0.05,1,115,53,0.0,0.0,1,0,1
No Adaptive,1,56,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.05656162735025291,0.05,1,117,54,0.0,0.0,1,0,1
No Adaptive,1,57,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.053733545982740265,0.05,1,119,54,0.0,0.0,1,0,1
No Adaptive,1,58,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.05104686868360325,0.05,1,121,54,0.0,0.0,1,0,1
No Adaptive,1,59,train,strong,player_win,-10.0,5,50.0,1,Very Easy,0.05,0.05,1,123,55,0.0,0.0,1,0,1
