model,seed,episode,phase,opponent,result,reward,move_count,skill,difficulty,difficulty_name,epsilon,effective_epsilon,q_updates_enabled,q_updates,learned_states,avg_abs_q_change,max_abs_q_change,tactical_moves,epsilon_moves,q_policy_moves
No Q,1,1,train,random,agent_win,10.0,6,42.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,2,train,random,agent_win,10.0,6,34.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,3,train,random,agent_win,10.0,6,26.0,2,Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,4,train,random,agent_win,10.0,6,18.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,5,train,random,agent_win,10.0,6,10.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,6,train,random,agent_win,10.0,6,2.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,7,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,8,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,9,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,10,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,11,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,12,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,13,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,14,train,random,agent_win,10.0,8,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,4,0,0
No Q,1,15,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,16,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,17,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,18,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,19,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,20,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,21,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,22,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,23,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,24,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,25,train,random,agent_win,10.0,8,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,4,0,0
No Q,1,26,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,27,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,28,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,29,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,30,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,31,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,32,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,33,train,random,agent_win,10.0,10,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,5,0,0
No Q,1,34,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,35,train,random,agent_win,10.0,8,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,4,0,0
No Q,1,36,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,37,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,38,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,39,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,40,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,41,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,42,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,43,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,44,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,45,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,46,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,47,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,48,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,49,train,random,agent_win,10.0,8,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,4,0,0
No Q,1,50,train,random,player_win,-10.0,7,10.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,51,train,random,agent_win,10.0,6,2.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,52,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,53,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,54,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,55,train,random,agent_win,10.0,10,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,5,0,0
No Q,1,56,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,57,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,58,train,random,player_win,-10.0,5,10.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,2,0,0
No Q,1,59,train,random,agent_win,10.0,6,2.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,60,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,61,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,62,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,63,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,64,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,65,train,random,agent_win,10.0,8,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,4,0,0
No Q,1,66,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,67,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,68,train,random,agent_win,10.0,8,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,4,0,0
No Q,1,69,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,70,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,71,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,72,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
No Q,1,73,train,random,agent_win,10.0,8,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,4,0,0
No Q,1,74,train,random,agent_win,10.0,6,0.0,1,Very Easy,1.0,1.0,0,0,0,0.0,0.0,3,0,0
