model,seed,episode,phase,opponent,result,reward,move_count,skill,difficulty,difficulty_name,epsilon,effective_epsilon,q_updates_enabled,q_updates,learned_states,avg_abs_q_change,max_abs_q_change,tactical_moves,epsilon_moves,q_policy_moves
No Tactical,1,1,train,random,player_win,-10.0,7,60.0,1,Very Easy,0.95,1.0,1,3,3,0.0,0.0,0,3,0
No Tactical,1,2,train,random,player_win,-10.0,9,70.0,1,Very Easy,0.9025,1.0,1,7,7,0.0,0.0,0,4,0
No Tactical,1,3,train,random,agent_win,10.0,12,62.0,3,Normal,0.8573749999999999,0.6859,1,13,13,3.0,3.0,0,6,0
No Tactical,1,4,train,random,player_win,-10.0,7,72.0,4,Hard,0.8145062499999999,0.40725312499999994,1,16,16,0.0,0.0,0,2,1
No Tactical,1,5,train,random,agent_win,10.0,10,64.0,3,Normal,0.7737809374999999,0.6190247499999999,1,21,21,3.0,3.0,0,1,4
No Tactical,1,6,train,random,agent_win,10.0,12,56.0,3,Normal,0.7350918906249998,0.5880735124999998,1,27,26,3.0,3.0,0,2,4
No Tactical,1,7,train,random,agent_win,10.0,14,48.0,3,Normal,0.6983372960937497,0.5586698368749998,1,34,32,3.0,3.0,0,5,2
No Tactical,1,8,train,random,agent_win,10.0,10,40.0,2,Easy,0.6634204312890623,0.7297624744179685,1,39,37,3.0,3.0,0,2,3
No Tactical,1,9,train,random,agent_win,10.0,10,32.0,2,Easy,0.6302494097246091,0.69327435069707,1,44,42,3.0,3.0,0,5,0
No Tactical,1,10,train,random,player_win,-10.0,7,42.0,2,Easy,0.5987369392383786,0.6586106331622165,1,47,45,0.0,0.0,0,3,0
No Tactical,1,11,train,random,agent_win,10.0,8,34.0,2,Easy,0.5688000922764596,0.6256801015041056,1,51,48,3.0,3.0,0,2,2
No Tactical,1,12,train,random,agent_win,10.0,10,26.0,2,Easy,0.5403600876626365,0.5943960964289002,1,56,53,3.0,3.0,0,2,3
No Tactical,1,13,train,random,agent_win,10.0,10,18.0,1,Very Easy,0.5133420832795047,0.6930118124273313,1,61,57,3.0,3.0,0,3,2
No Tactical,1,14,train,random,agent_win,10.0,8,10.0,1,Very Easy,0.48767497911552943,0.6583612218059648,1,65,61,3.0,3.0,0,3,1
No Tactical,1,15,train,random,player_win,-10.0,13,20.0,1,Very Easy,0.46329123015975293,0.6254431607156665,1,71,66,0.0,0.0,0,3,3
No Tactical,1,16,train,random,agent_win,10.0,10,12.0,1,Very Easy,0.44012666865176525,0.5941710026798831,1,76,71,3.0,3.0,0,4,1
No Tactical,1,17,train,random,agent_win,10.0,10,4.0,1,Very Easy,0.41812033521917696,0.5644624525458889,1,81,75,3.0,3.0,0,4,1
