model,seed,episode,phase,opponent,result,reward,move_count,skill,difficulty,difficulty_name,epsilon,effective_epsilon,q_updates_enabled,q_updates,learned_states,avg_abs_q_change,max_abs_q_change,tactical_moves,epsilon_moves,q_policy_moves
No Tactical,1,1,train,strong,player_win,-10.0,5,60.0,1,Very Easy,0.95,1.0,1,2,2,0.0,0.0,0,2,0
No Tactical,1,2,train,strong,player_win,-10.0,5,70.0,1,Very Easy,0.9025,1.0,1,4,4,0.0,0.0,0,2,0
No Tactical,1,3,train,strong,player_win,-10.0,5,80.0,5,Expert,0.8573749999999999,0.21434374999999997,1,6,5,0.0,0.0,0,2,0
No Tactical,1,4,train,strong,player_win,-10.0,5,90.0,5,Expert,0.8145062499999999,0.20362656249999997,1,8,7,0.0,0.0,0,1,1
No Tactical,1,5,train,strong,player_win,-10.0,5,100.0,5,Expert,0.7737809374999999,0.19344523437499997,1,10,8,0.0,0.0,0,0,2
No Tactical,1,6,train,strong,player_win,-10.0,5,100.0,5,Expert,0.7350918906249998,0.18377297265624995,1,12,10,0.0,0.0,0,0,2
No Tactical,1,7,train,strong,player_win,-10.0,5,100.0,5,Expert,0.6983372960937497,0.17458432402343743,1,14,11,0.0,0.0,0,1,1
No Tactical,1,8,train,strong,player_win,-10.0,5,100.0,5,Expert,0.6634204312890623,0.16585510782226556,1,16,12,0.0,0.0,0,0,2
No Tactical,1,9,train,strong,player_win,-10.0,5,100.0,5,Expert,0.6302494097246091,0.15756235243115227,1,18,13,0.0,0.0,0,1,1
No Tactical,1,10,train,strong,player_win,-10.0,5,100.0,5,Expert,0.5987369392383786,0.14968423480959464,1,20,14,0.0,0.0,0,0,2
No Tactical,1,11,train,strong,player_win,-10.0,5,100.0,5,Expert,0.5688000922764596,0.1422000230691149,1,22,15,0.0,0.0,0,0,2
No Tactical,1,12,train,strong,player_win,-10.0,5,100.0,5,Expert,0.5403600876626365,0.13509002191565914,1,24,16,0.0,0.0,0,0,2
