model,opponent,win_rate_mean,win_rate_std,draw_rate_mean,draw_rate_std,loss_rate_mean,loss_rate_std,reward_mean,reward_std,final_skill_mean,final_skill_std,final_difficulty_mean,final_difficulty_std,average_difficulty_mean,balance_error_mean,balance_error_std,within_45_55_percent,learned_states_mean
Full,heuristic,55.70000000000001,0.44721359549995765,0.4,0.4183300132670378,43.9,0.6519202405202651,1.192,0.11071359446788821,52.2,14.872793954062566,2.8,0.8366600265340756,2.974,5.700000000000007,0.4472135954999579,0.0,1760.6
Full,random,95.2,1.3964240043768923,0.1,0.22360679774997896,4.7,1.2549900398011131,9.053,0.2603747299566526,0.0,0.0,1.0,0.0,1.0,45.2,1.3964240043768945,0.0,2009.4
Full,strong,0.0,0.0,0.0,0.0,100.0,0.0,-10.0,0.0,100.0,0.0,5.0,0.0,5.0,50.0,0.0,0.0,61.2
No Adaptive,heuristic,38.2,2.5149552679918585,0.3,0.6708203932499369,61.5,2.979093821953249,-2.321,0.5614312068276932,50.0,0.0,1.0,0.0,1.0,11.8,2.5149552679918585,0.0,2004.6
No Adaptive,random,95.2,1.3964240043768923,0.1,0.22360679774997896,4.7,1.2549900398011131,9.053,0.2603747299566526,50.0,0.0,1.0,0.0,1.0,45.2,1.3964240043768945,0.0,2009.4
No Adaptive,strong,0.0,0.0,0.0,0.0,100.0,0.0,-10.0,0.0,50.0,0.0,1.0,0.0,1.0,50.0,0.0,0.0,100.0
No Q,heuristic,83.6,2.815137652051848,0.0,0.0,16.4,2.81513765205185,6.720000000000001,0.5630275304103698,3.2,5.019960159204453,1.0,0.0,1.004,33.6,2.81513765205185,0.0,0.0
No Q,random,98.5,0.5,0.0,0.0,1.5,0.5,9.7,0.1000000000000007,0.0,0.0,1.0,0.0,1.0,48.5,0.5,0.0,0.0
No Q,strong,0.0,0.0,0.0,0.0,100.0,0.0,-10.0,0.0,100.0,0.0,5.0,0.0,5.0,50.0,0.0,0.0,0.0
No Tactical,heuristic,1.4,0.5477225575051661,0.0,0.0,98.6,0.5477225575051647,-9.719999999999999,0.10954451150103413,98.4,3.577708763999662,5.0,0.0,5.0,48.6,0.5477225575051667,0.0,1250.0
No Tactical,random,40.7,2.752271788904577,0.0,0.0,59.3,2.752271788904581,-1.86,0.5504543577809152,93.6,7.402702209328699,5.0,0.0,4.664,9.3,2.752271788904577,0.0,2708.2
No Tactical,strong,0.0,0.0,0.0,0.0,100.0,0.0,-10.0,0.0,100.0,0.0,5.0,0.0,5.0,50.0,0.0,0.0,93.6
