model,opponent,seed,win_rate,draw_rate,loss_rate,average_reward,average_moves,final_skill,final_difficulty,average_difficulty,average_effective_epsilon,final_learned_states,balance_error,within_45_55_percent
Full,heuristic,1,55.00000000000001,0.5,44.5,1.065,7.435,54.0,3,2.93,0.0,1818,5.000000000000007,0
Full,heuristic,2,55.50000000000001,0.0,44.5,1.1,7.735,43.0,2,2.595,0.0,1762,5.500000000000007,0
Full,heuristic,3,56.00000000000001,0.0,44.0,1.2,7.21,68.0,4,3.245,0.0,1733,6.000000000000007,0
Full,heuristic,4,56.00000000000001,0.5,43.5,1.265,7.395,32.0,2,3.21,0.0,1804,6.000000000000007,0
Full,heuristic,5,56.00000000000001,1.0,43.0,1.33,7.72,64.0,3,2.89,0.0,1686,6.000000000000007,0
Full,random,1,96.5,0.0,3.5000000000000004,9.3,7.665,0.0,1,1.0,0.0,2015,46.5,0
Full,random,2,95.5,0.0,4.5,9.1,7.535,0.0,1,1.0,0.0,1958,45.5,0
Full,random,3,94.0,0.0,6.0,8.8,7.32,0.0,1,1.0,0.0,2043,44.0,0
Full,random,4,93.5,0.5,6.0,8.765,7.49,0.0,1,1.0,0.0,2019,43.5,0
Full,random,5,96.5,0.0,3.5000000000000004,9.3,7.415,0.0,1,1.0,0.0,2012,46.5,0
Full,strong,1,0.0,0.0,100.0,-10.0,5.03,100.0,5,5.0,0.0,58,50.0,0
Full,strong,2,0.0,0.0,100.0,-10.0,5.01,100.0,5,5.0,0.0,55,50.0,0
Full,strong,3,0.0,0.0,100.0,-10.0,5.01,100.0,5,5.0,0.0,65,50.0,0
Full,strong,4,0.0,0.0,100.0,-10.0,5.0,100.0,5,5.0,0.0,60,50.0,0
Full,strong,5,0.0,0.0,100.0,-10.0,5.03,100.0,5,5.0,0.0,68,50.0,0
No Adaptive,heuristic,1,40.5,0.0,59.5,-1.9,8.105,50.0,1,1.0,0.0,2006,9.5,0
No Adaptive,heuristic,2,37.0,0.0,63.0,-2.6,8.11,50.0,1,1.0,0.0,2000,13.0,0
No Adaptive,heuristic,3,35.0,0.0,65.0,-3.0,8.11,50.0,1,1.0,0.0,2003,15.0,0
No Adaptive,heuristic,4,41.0,1.5,57.49999999999999,-1.605,8.275,50.0,1,1.0,0.0,1941,9.0,0
No Adaptive,heuristic,5,37.5,0.0,62.5,-2.5,7.945,50.0,1,1.0,0.0,2073,12.5,0
No Adaptive,random,1,96.5,0.0,3.5000000000000004,9.3,7.665,50.0,1,1.0,0.0,2015,46.5,0
No Adaptive,random,2,95.5,0.0,4.5,9.1,7.535,50.0,1,1.0,0.0,1958,45.5,0
No Adaptive,random,3,94.0,0.0,6.0,8.8,7.32,50.0,1,1.0,0.0,2043,44.0,0
No Adaptive,random,4,93.5,0.5,6.0,8.765,7.49,50.0,1,1.0,0.0,2019,43.5,0
No Adaptive,random,5,96.5,0.0,3.5000000000000004,9.3,7.415,50.0,1,1.0,0.0,2012,46.5,0
No Adaptive,strong,1,0.0,0.0,100.0,-10.0,5.29,50.0,1,1.0,0.0,100,50.0,0
No Adaptive,strong,2,0.0,0.0,100.0,-10.0,5.25,50.0,1,1.0,0.0,100,50.0,0
No Adaptive,strong,3,0.0,0.0,100.0,-10.0,5.25,50.0,1,1.0,0.0,100,50.0,0
No Adaptive,strong,4,0.0,0.0,100.0,-10.0,5.21,50.0,1,1.0,0.0,100,50.0,0
No Adaptive,strong,5,0.0,0.0,100.0,-10.0,5.33,50.0,1,1.0,0.0,100,50.0,0
No Q,heuristic,1,84.5,0.0,15.5,6.9,6.385,0.0,1,1.0,0.0,0,34.5,0
No Q,heuristic,2,85.5,0.0,14.499999999999998,7.1,6.435,2.0,1,1.005,0.0,0,35.5,0
No Q,heuristic,3,86.0,0.0,14.000000000000002,7.2,6.42,0.0,1,1.0,0.0,0,36.0,0
No Q,heuristic,4,83.0,0.0,17.0,6.6,6.38,12.0,1,1.01,0.0,0,33.0,0
No Q,heuristic,5,79.0,0.0,21.0,5.8,6.28,2.0,1,1.005,0.0,0,29.0,0
No Q,random,1,98.0,0.0,2.0,9.6,6.26,0.0,1,1.0,0.0,0,48.0,0
No Q,random,2,99.0,0.0,1.0,9.8,6.24,0.0,1,1.0,0.0,0,49.0,0
No Q,random,3,98.5,0.0,1.5,9.7,6.355,0.0,1,1.0,0.0,0,48.5,0
No Q,random,4,99.0,0.0,1.0,9.8,6.31,0.0,1,1.0,0.0,0,49.0,0
No Q,random,5,98.0,0.0,2.0,9.6,6.33,0.0,1,1.0,0.0,0,48.0,0
No Q,strong,1,0.0,0.0,100.0,-10.0,5.0,100.0,5,5.0,0.0,0,50.0,0
No Q,strong,2,0.0,0.0,100.0,-10.0,5.0,100.0,5,5.0,0.0,0,50.0,0
No Q,strong,3,0.0,0.0,100.0,-10.0,5.0,100.0,5,5.0,0.0,0,50.0,0
No Q,strong,4,0.0,0.0,100.0,-10.0,5.0,100.0,5,5.0,0.0,0,50.0,0
No Q,strong,5,0.0,0.0,100.0,-10.0,5.0,100.0,5,5.0,0.0,0,50.0,0
No Tactical,heuristic,1,1.5,0.0,98.5,-9.7,6.445,100.0,5,5.0,0.0,1255,48.5,0
No Tactical,heuristic,2,0.5,0.0,99.5,-9.9,6.505,100.0,5,5.0,0.0,1241,49.5,0
No Tactical,heuristic,3,1.5,0.0,98.5,-9.7,6.415,92.0,5,5.0,0.0,1236,48.5,0
No Tactical,heuristic,4,2.0,0.0,98.0,-9.6,6.55,100.0,5,5.0,0.0,1262,48.0,0
No Tactical,heuristic,5,1.5,0.0,98.5,-9.7,6.435,100.0,5,5.0,0.0,1256,48.5,0
No Tactical,random,1,42.5,0.0,57.49999999999999,-1.5,9.875,94.0,5,4.395,0.0,2777,7.5,0
No Tactical,random,2,42.0,0.0,57.99999999999999,-1.6,9.62,92.0,5,4.685,0.0,2739,8.0,0
